,0
0,0.607940108892922
1,0.6081669691470054
2,0.6081669691470054
3,0.6081669691470054
4,0.6081669691470054
5,0.6181669691470054
6,0.6081669691470054
7,0.6081669691470054
8,0.6081669691470054
9,0.6081669691470054
10,0.6081669691470054
11,0.6081669691470054
12,0.6081669691470054
13,0.6081669691470054
14,0.6081669691470054
15,0.6081669691470054
16,0.6081669691470054
17,0.6081669691470054
18,0.6081669691470054
19,0.6081669691470054
20,0.6081669691470054
21,0.6207758620689655
22,0.6366016333938294
23,0.6296460980036298
24,0.6103266787658802
25,0.6186252268602541
26,0.5914246823956443
27,0.5931261343012704
28,0.5994963702359347
29,0.5974364791288567
30,0.5890426497277677
31,0.598570780399274
32,0.5952813067150635
33,0.5966424682395645
34,0.5953947368421053
35,0.59505444646098
36,0.5801950998185118
37,0.5981170598911071
38,0.595508166969147
39,0.6000453720508166
40,0.6056034482758621
41,0.6096869328493648
42,0.6103675136116152
43,0.6145644283121597
44,0.6176270417422868
45,0.6187613430127041
46,0.6127495462794919
47,0.6333166969147006
48,0.6355852994555354
49,0.6513702359346642
50,0.6563611615245009
51,0.6745462794918331
52,0.6715970961887477
53,0.6796687840290381
54,0.671029945553539
55,0.6947731397459165
56,0.6954537205081669
57,0.6997822141560798
58,0.6925045372050817
59,0.7045462794918331
60,0.7123729582577132
61,0.7177041742286751
62,0.732940108892922
63,0.7365698729582577
64,0.7387250453720508
65,0.7401996370235935
66,0.7436025408348457
67,0.7489337568058077
68,0.750068058076225
69,0.7548321234119783
70,0.7611842105263158
71,0.7632259528130672
72,0.764587114337568
73,0.7616379310344828
74,0.7636796733212341
75,0.7652676950998185
76,0.7669691470054446
77,0.7594827586206896
78,0.7592558983666061
79,0.7696914700544465
80,0.772073502722323
81,0.7696914700544465
82,0.7827359346642469
83,0.7837568058076225
84,0.7727540834845736
85,0.7803539019963702
86,0.7617513611615246
87,0.7718466424682396
88,0.7660617059891107
89,0.7713929219600726
90,0.7887477313974592
91,0.779559891107078
92,0.7817150635208712
93,0.7941923774954628
94,0.800562613430127
95,0.8238702359346642
96,0.8587477313974592
97,0.8529446460980037
98,0.8758938294010889
99,0.8779537205081669
100,0.8692967332123412
101,0.8857803992740472
102,0.8814519056261344
103,0.8926996370235935
104,0.8979355716878403
105,0.875862068965517
106,0.8702041742286751
107,0.8732667876588021
108,0.8688611615245009
109,0.8745145190562614
110,0.8673684210526315
111,0.8531533575317604
112,0.859505444646098
113,0.857350272232305
114,0.8578039927404719
115,0.8740607985480943
116,0.889051724137931
117,0.8974637023593466
118,0.8922277676950998
119,0.8957441016333939
120,0.8996188747731398
121,0.8931352087114338
122,0.8924546279491834
123,0.8581261343012704
124,0.8475589836660617
125,0.8376724137931034
126,0.8459709618874773
127,0.8558756805807622
128,0.8638157894736842
129,0.8664246823956443
130,0.8893738656987296
131,0.8870099818511797
132,0.88163112522686026
133,0.8725499092558983
134,0.8794872958257713
135,0.873929219600726
136,0.8448366606170599
137,0.8476724137931034
138,0.8522096188747731
139,0.854478221415608
140,0.8442513611615246
141,0.8513021778584392
142,0.8616424682395645
143,0.8524364791288567
144,0.8650453720508166
145,0.8625499092558983
146,0.860508166969147
147,0.8771052631578947
148,0.8875589836660617
149,0.8823230490018149
150,0.8896007259528131
151,0.8832304900181489
152,0.884931941923775
153,0.8832304900181489
154,0.8865199637023594
155,0.8999410163339383
156,0.9062931034482759
157,0.91878811252268602
158,0.9299228675136116
159,0.93241833030853
160,0.9346869328493648
161,0.9349137931034483
162,0.9239110707803993
163,0.9295825771324864
164,0.9266333938294011
165,0.9237976406533575
166,0.9201678765880217
167,0.92005444646098
168,0.9225499092558983
169,0.9245916515426497
170,0.9251588021778584
171,0.9245916515426497
172,0.9225499092558983
173,0.9230036297640653
174,0.9243647912885662
175,0.9216424682395645
176,0.9261796733212341
177,0.9282214156079855
178,0.9257259528130672
179,0.928448275862069
180,0.9309437386569873
181,0.9308303085299456
182,0.9303765880217786
183,0.9292422867513612
184,0.931510889292196
185,0.9321914700544465
186,0.9307168784029038
187,0.9277676950998185
188,0.9272005444646098
189,0.9276542649727767
190,0.929355716878403
191,0.9274274047186933
192,0.9268602540834845
193,0.9262931034482759
194,0.9292422867513612
195,0.9295825771324864
196,0.9278811252268602
197,0.9283348457350273
198,0.9306034482758621
199,0.9329854809437386
200,0.9316243194192378
201,0.9311705989110708
202,0.9277676950998185
203,0.9186932849364791
204,0.9228901996370236
205,0.9258393829401089
206,0.9264065335753176
207,0.9256125226860254
208,0.9275408348457351
209,0.931057168784029
210,0.9282214156079855
211,0.9348003629764065
212,0.9340063520871143
213,0.9303765880217786
214,0.9317377495462795
215,0.9337794918330308
216,0.9316243194192378
217,0.9360480943738656
218,0.9368421052631579
219,0.9349137931034483
220,0.938089836660617
221,0.9388838475499092
222,0.9338929219600726
223,0.9266333938294011
224,0.9298094373865699
225,0.9326451905626135
226,0.9230036297640653
227,0.9304900181488203
228,0.9311705989110708
229,0.9333257713248639
230,0.9350272232304933
231,0.9355943738656987
232,0.9338929219600726
233,0.9359346642468245
234,0.9352540834845736
235,0.9389972776769515
236,0.9376361161524501
237,0.9309437386569873
238,0.9313974591651543
239,0.9343466424682396
240,0.9336660617059891
241,0.9325317604355717
242,0.9573139745916516
243,0.9523049001814882
244,0.9529854809437386
245,0.9678629764065335
246,0.9619646098003629
247,0.9690154264972777
248,0.9628720508166969
249,0.9680272232304982
